id,description_chi,year,month,day,date
plxh-0657,颯爽英姿的中國人民解放軍空軍女跳傘員爾孜規（維吾爾族）。,1975,2,19,19 Feb 1975
plxh-0659,杭嘉湖地區海寧縣幼兒園的小朋友在看畫報。,1975,1,15,15 Jan 1975
plxh-0660,一九七四年，寧夏回族自治區農業獲豐收。這是吳忠縣古城人民公社的回族社員在觀察水稻生長情況。,1975,1,16,16 Jan 1975
plxh-0661,中國第四屆全國人大代表、雲南省瑞麗縣廣雙生產隊隊長瑞板（傣族，左二）與社員親切交談。,1975,1,17,17 Jan 1975
plxh-0663,安徽省窗南陵縣奎湖公杜的一支農村業餘女子籃球隊。,1975,2,20,20 Feb 1975
plxh-0665,杭嘉湖地區的湖州絲綢印染廠印花車間一角。,1975,1,15,15 Jan 1975
plxh-0666,一九七四年都安縣獲得農業好收成。這是社員們在收打稻穀。,1975,1,25,25 Jan 1975
plxh-0642,北京市一所幼兒園裡的少年乒乓球愛好者。,1972,5,15,15-May-1972
plxh-0232,十月一日，西哈努克親王和夫人、賓努親王和夫人、英·薩利特使等柬埔寨貴賓，由中國領導人周恩來、王洪文、葉劍英、鄧小平、徐向前等陪同，在北京中山公園參加中國國慶遊園聯歡活動。,1973,10,1,1-Oct-1973
plxh-0508,丹江口水利樞紐建成，也為發展水產養殖事業創造了有利條件。這是丹江口水庫附近的一個魚苗場的工人正在飼養魚苗。,1974,8,28,28-Aug-1974
plxh-0484,上海同濟大學房屋建築專業的學生在工人的指導下，學習建築施工的管理工作。,1974,8,23,23-Aug-1974
plxh-0485,新疆大學校園一角。現在，共有十二個民族的工農兵學員在這裡學習。,1974,8,23,23-Aug-1974
plxh-0651,北京第三棉紡織廠粗車間一角。,1974,3,26,26-Mar-1974
plxh-0650,為了使女工們更好地工作和學習，北京第三棉紡織廠設有哺乳室、托兒所、幼兒園等各項福利設施。這是北京第三棉紡織廠幼兒園的孩子們。,1974,3,26,26-Mar-1974
plxh-0475,中國人民解放軍某部班長鄭申田（前），登上講台，批林批孔。他堅持學習馬列著作和毛主席的著作，批判林彪的反革命修正主義路線與孔孟之道，三年來共寫了幾十萬字的讀書筆記和文章。,1974,8,23,23-Aug-1974
plxh-0364,天津鐵路分局天津站理論小組的老工人杜玉書，以馬克思主義為指導，研究並宣講儒法鬥爭史。,1974,8,23,23-Aug-1974
plxh-0489,"清華大學建工系工宜隊員劉清爽（左）與教師、工農兵學員一起研究深入開展批林批孔問題。
遵照毛主席 '工人階級必須領導一切'的指示，工宣隊一九六八年開始進駐學校以來，促進了教育革命的發展。",1974,8,23,23-Aug-1974
plxh-0293,廣西民族學院政治係部分師生到都安瑤族自治縣城廂公社實行開用辦學。這是他們在聽六里大隊黨支部書記陸錦漢講課。,1974,8,23,23-Aug-1974
plxh-0296,西北農學院作物良種選育進修班畢業生張小香現在是陝西省武功縣永台大隊植棉組的指導員。這是張小香（左二）和植棉組組員在試驗田裡觀察雜交棉的生長情況。,1974,8,23,23-Aug-1974
plxh-0488,"遼寧農學院畜牧獸醫系工農兵學員在一個蒙古族聚居的農村，學習牲畜疾病的預防和治療。
圖中左三是張鐵生。他原是一名插隊知識青年，去年大學招生考試時，他寫了一份答卷，揭露和批判了修正主義教育路線的影響和表現，受到黨和革命群眾的支持。張鐵生上大學後，積極參加學校的教育革會活動。",1974,8,23,23-Aug-1974
plxh-0366,上海市川沙縣艾南生產大隊的理論小組積極開展社會調查，收集長期在農村流傳的宣揚孔孟之道的反動諺語，進行批判。這是理論小組成員用大字報的形式批判反動諺語。,1974,8,23,23-Aug-1974
plxh-0492,湖南省洞庭湖地區今年早稻獲得豐收。這是漢壽縣罐頭咀公社社員在選曬早稻良種。,1974,8,23,23-Aug-1974
plxh-0498,瑪曲縣尼瑪人民公社萬瑪大隊的社員群眾和幹部，在牧場上批判林彪、孔老二鼓吹的 “天命觀”，決心自力更生、艱苦奮鬥，發展牧業生產。,1974,8,29,29-Aug-1974
plxh-0468,尼瑪人民公社新修七條水渠，改善了乾旱草原的人畜飲水問題。這是藏族牧民在新修的水渠旁放牧。,1974,8,29,29-Aug-1974
plxh-0491,四川省都江堰灌區一百五十多萬畝早稻獲得豐收。總產量和畝產量都超過歷史最高水平。圖為廣漢縣中興公社社員在收割早稻。,1974,8,23,23-Aug-1974
plxh-0473,"浙江省江山縣勤儉大隊黨支部書記姜汝旺（前右起第二人）和大隊貧下中農理論隊伍成員一起讀有關法家的著作。
這個大隊已組織起一支一百多人的貧下中農理論隊伍。",1974,8,23,23-Aug-1974
plxh-0478,布崙口公社的干部和社員，在高山上興修水渠。,1974,8,28,28-Aug-1974
plxh-0480,柯爾克孜族社員憤怒批判林彪效法孔老二 '克己復禮' ，妄圖復辟資本主義的罪行。,1974,8,28,28-Aug-1974
plxh-0483,"中國新疆維吾爾自治區克孜勒蘇柯爾克孜自治州阿克陶縣布崙口公社，位於帕米爾高原公格爾山下。居住在這裡的柯爾克孜族牧民，深入開展批林批孔運動，促進了畜牧業生產的發展。現在，牧場上處處呈現一派生氣勃勃的繁榮景象。
放牧在帕米爾高原公格爾山下的羊群。",1974,8,28,28-Aug-1974
plxh-0465,廣西橫縣陶圩公社社員，今年先後戰勝了乾旱和病蟲害，獲得早稻豐收。,1974,8,23,23-Aug-1974
plxh-0495,大寨大隊在修山填溝造田方面，過去完全依靠人力，現已充分發揮農業機械的作用。,1974,8,22,22-Aug-1974
plxh-0464,大寨大隊根據山區特點，使用小型拖拉機耕作。這種拖拉機具有輕便靈巧、能爬陡坡、耕作效率高的特點。,1974,8,22,22-Aug-1974
plxh-0463,大寨大隊的農作物脫粒、農副產品加工已基本實現機械化。這是社員們正使用機械脫粒。,1974,8,22,22-Aug-1974
plxh-0305,大寨大隊架設了空中電力運輸索道，它既節省了勞力，又提高了工作效率。,1974,8,22,22-Aug-1974
plxh-0494,大寨大隊注意培養農業機械人員。這是大隊青年在縣農業機械廠工人幫助下學習維修鑽岩機。,1974,8,22,22-Aug-1974
plxh-0459,廈門大學中文系師生走出校門，到閩西革命根據地上杭縣進行社會調查。促進了師生世界觀的改造，並充實了教材。第二次國內革命戰爭期間（一九二八 —— 一九三七年），中國人民的偉大領袖毛主席曾在上杭縣的才溪鄉進行過社會調查。這是師生們在毛主席才溪鄉調查會址前聽老紅軍戰士王家豐講述當年毛主席的偉大革命實踐。,1974,8,23,23-Aug-1974
plxh-0486,"雲南昆明師範學院工人出身的納西族學員段菊清在上實驗課。
雲南省是二十一個少數民族聚居的地區。現在，共有一千多名來自工人和貧下中農的少數民族學員在省裡的八所高等院校學習。",1974,8,23,23-Aug-1974
plxh-0487,從東北石油學院工人技術短訓班畢業的劉嘉明，現在已是一名工人技術員，並擔任大慶油田一二〇五鑽井隊副隊長。這是劉嘉明（左）和工人一起檢修鑽機。,1974,8,23,23-Aug-1974
plxh-0479,帕米爾高原軍民聯防，保衛邊疆。,1974,8,28,28-Aug-1974
plxh-0503,知識青年們積極參加批林批孔鬥爭。這是他們在一起學習有關批林批孔的文章。,1974,8,28,28-Aug-1974
plxh-0500,青年們在橡膠林裡收膠。,1974,8,28,28-Aug-1974
plxh-0501,從四川來到西雙版納的賈月林、賈渝平兩姊妹，都是割膠工。這是她們一起研究改進割膠技術。,1974,8,28,28-Aug-1974
plxh-0469,知識青年們在技術員的幫助下學習橡膠嫁接技術。,1974,8,28,28-Aug-1974
plxh-0502,知識青年們在喜摘油棕果。,1974,8,28,28-Aug-1974
plxh-0319,勞動後的愉快生活。,1974,8,28,28-Aug-1974
plxh-0506,漢江丹江口水利樞紐大壩，長一千一百四十一米，高九十七米。,1974,8,28,28-Aug-1974
plxh-0467,渠道縱橫的江漢平原。漢江丹江口水利樞紐建成後，初步解除了洪水對這個地區的危害，並使農田得到及時的灌溉。,1974,8,28,28-Aug-1974
