docID,contnet
plxh-0001,"After seven years' hard work, people in Hopei Province, north China, have acheived great successes in harnessing the Haiho River, thus relieving the river valley in the main from floods and water-logging and putting an end to the area's history of long-time grain deficiency. Photo shows a newly-completed project on the New Tzuya River, a tributary of the Haiho River."
plxh-0002,Chairman Mao's brilliant philosophic thinking has become a powerful motivating force to promote the development of China's socialist revolution and socialist construction. Photo shows workers of the formaldehyde workshop in the Peking No.3 Chemical Works studying Chairman Mao's philosophic work 'On Contradiction'.
plxh-0003,"A bumper harvest of peanuts has been gathered in Tsunhua County, Hopei Province, this year with per-unit yield and total output all reaching an all-time high level. Photo shows members of the Shikechuan Brigade of the Malanyu Commune sunning peanuts."
plxh-0004,The 'Huanan' (South China) brand sewing machines produced by the Kwangchow Sewing Machine Factory not only can meet the local needs but be found in other parts of the country.
plxh-0005,"Using Chainman Mao's philosophic thinking to remake nature, the poor and lower-middle peasants in China have promoted the development of agricultural production. Photo: Commune members in Tungfeng County, Kirin Province, study Chairman Mao's philosophic thinking in the fields with comrades of the P.L.A. Mao Tsetung Thought propaganda team."
plxh-0006,With soaring revolutionary drive workers of the Chiashen Farm Machinery Repair Plant in east China's province of Chekiang completed the year's plan for the production of electric ploughs 7 months ahead of schedule. They have thus made a new contribution to agricultural mechanization.
plxh-0007,"Firmly grasp revolution and vigorously promote production to greet the Fourth National People's Congress' is the slogan put forward by the poor and lower-middle peasants of Chuantang People's Commune in Pinghu County, Chekiang Province, east China. Photo shows them sorting their newly-picked rich cotton harvest."
plxh-0008,"In line with Chairman Mao's instruction 'Break down foreign conventions and follow our own road in developing industry', workers of an automobile parts factory in Chinghai Province launched a mass movement to produce automobiles. With the emergence of the 'Chinghai Lake' heavy-duty lorries designed and produced by the factory this northwest China's province has ended its history of being only able to repair automobiles. Photo shows workers assemblIng 'Chinghai Lake' heavy-duty lorries."
plxh-0009,"After overfulfilling the 1970 production task 53 days ahead of schedule, revolutionary workers of the Yinchuan Cotton Mill in the Ningsia Hui Autonomous Region start a new battle with still greater revolutionary drive."
plxh-0010,"Following the overfulfilment in 1969 of the grain production target set by the National Programme for Agricultural Development, Chekiang Province in east China has seen another good rice harvest this year. Photo shows members of the Shentang Commune in Haiyen County reaping late rice."
