docID,content,,,,,,,,,,,,
plxh-0486,"Tuan Chu-ching, a worker-turned girl student of Nahsi nationality at the Kunming Teachers' College in Yunnan Province, carries on laboratory experiment. Yunnan Province in southwest China is inhabited by people of 21 minority nationalities. More than 1,000 students of national minorities who came from the ranks of workers and poor and lower-middle peasants are studying in the province's eight institutions of advanced learning.",,,,,,,,,,,,
plxh-0487,"Liu Chia-ming (left), vice-head of Drilling Team No.1205 of the Taching Oilfield, joins worker in repairing drilling gear. Liu became a technician after completing a short-term technical course for workers run by the Northeast Petroleum Institute.",,,,,,,,,,,,
plxh-0479,Joint army-civilian border defence on the Pamirs.,,,,,,,,,,,,
plxh-0503,Young educated people settling at the Hsishuang Panna Tai Autonomous Chou in Yunnan Province earnestly study articles criticizing Lin Piao and Confucius.,,,,,,,,,,,,
plxh-0500,"Young educated people collect latex at the Hsishuang Panna Tai Autonomous Chou, Yunan Province.",,,,,,,,,,,,
plxh-0501,"Chia Yueh-lin and Chia Yu-ping, two sisters from Szechwan Province, become rubber workers at the Hsishuang Panna Tai Autonomous Chou, Yunnan Province. Photo shows them studying how to improve latex tapping.",,,,,,,,,,,,
plxh-0469,"Guided by a technician, an educated youth learns to graft rubber plant at the Hsishuang Panna Tai Autonomous Chou, Yunnan Province.",,,,,,,,,,,,
plxh-0502,"Young educated people pick oil palm fruit at the Hsishaung Panna Tai Autonomous Chou, Yunnan Province.",,,,,,,,,,,,
plxh-0319,A joyful atmosphere enlivens a work break.,,,,,,,,,,,,
plxh-0506,The mighty dam of the Tankiangkou water-control project is 141 metres long and 97 metres high.,,,,,,,,,,,,
plxh-0467,The checkerboard Kianghan Plain fed by the Tankiangkou reservoirs.,,,,,,,,,,,,
plxh-0471,Kengpo Commune in the once water-deficient and low-yield north Hupeh has turned its dryland into paddy fields by drawing water from the reservoir of the Tankiangkou water-control project.,,,,,,,,,,,,
plxh-0470,"The 4,320-metre long aqueduct over the Paitzu river is a trunk channel for diverting the waters of the Tankiangkou reservoir to feed the 60,000 hectares of arid farmland in northern Hupeh Province.",,,,,,,,,,,,
plxh-0466,"Inside a new workshop of a cotton mill in Hsiangfan, north Hupeh. This ancient town has grown into a new industrial centre with more than 200 factories, thanks to electricity supply from the Tankiangkou hydro-power station.",,,,,,,,,,,,
plxh-0505,Barges sail upstream on the Hankiang river. The Tankiangkou water-control project stabilizes the flow of the main channels on the Hankiang's middle and lower reaches and improves conditions for navigation.,,,,,,,,,,,,
plxh-0481,"Aimaiti Ahkekuli (centre), cadre, and herdsmen, of a production brigade of the Pulunkou Commune, Sinkiang, discuss livestock breeding.",,,,,,,,,,,,
plxh-0482,"Khalkhas women shear goats at the Pulunkou Commune, Sinkiang.",,,,,,,,,,,,
plxh-0369,Khalkhas children hail the new-comers to the summer range.,,,,,,,,,,,,
plxh-0476,Khalkhas herdsmen buy cloth and other daily necessities from a mobile store on the grassland.,,,,,,,,,,,,
plxh-0477,Khalkhas herdsmen enjoy themselves with songs and dances.,,,,,,,,,,,,
plxh-0497,"Flocks graze in the pasture of the Nima People's Commune, Kannan Tibetan Autonomous Chou, Kansu Province.",,,,,,,,,,,,
plxh-0360,The Nanking Yangtze River Bridge built in the Great Proletarian Cultural Revolution.,,,,,,,,,,,,
plxh-0514,"Leading members of the Nanking Radio Factory discuss how to complete production plan ahead of schedule. Sitting in the foreground is Chou A-ching, a child labourer in the old society. He is now a member of the Kiangsu Provincial Committee of the Chinese Communist Party, Deputy Director of Kiangsu Province and Nanking Trade Union Councils and leading member of the Nanking Radio Factory.",,,,,,,,,,,,
plxh-0513,The Nanking Petro-chemical works which was put into production in 1965.,,,,,,,,,,,,
plxh-0510,An assembly shop of the Nanking Radio Factory. Radio sets produced by the factory meet the needs of home and oversea markets.,,,,,,,,,,,,
plxh-0512,"Producing velvet at Nanking's Yikuang Silk Mill.
Production of velvet in this east China city dates back several hundred years. The present output of velvet at the mill is over 20 times more than that of 1965, the year before the Cultural Revolution.",,,,,,,,,,,,
plxh-0330,"The Mausoleum of Dr. Sun Yat-sen, the great pioneer of the Chinese revolution. Under the care of the Communist Party and the people's government, the mausoleum has undergone repeated renovations with trees verdant and flowers blooming in all seasons.",,,,,,,,,,,,
plxh-0357,"Yu Hua Tai in Nanking. People come here to pay tribute to revolutionary martyrs in front of a monument. During the 22 years' rule of the Kuomintang reactionaries, over 100,000 outstanding members of the Chinese Communist Party and revolutionaries were murdered here. After liberation, the People's Government of Nanking built Yu Hua Tai into a mausoleum, a place to carry on class education and the education in revolutionary traditions.",,,,,,,,,,,,
plxh-0288,"Children of a primary school beside the Chinhuai River
in Nanking rehearse a dance.
Rife with opium dens, gambling houses and brothels, the Chinhuai banks were a living hell in old China. A number of factories, hospitals, schools and parks now have sprung up on the banks of the river.",,,,,,,,,,,,
